title,artists
Lou Reed,Berlin (1973)[6]
Wizz Jones,When I leave Berlin (1973)
PVC,Berlin by Night (1977)
Iggy Pop,Lust For Life (1977)[7]
Iggy Pop,The Passenger (1977)
Karussell,Kleine Freundin aus Schönefeld (1977)
Lone Star,Bells of Berlin (1977)
Sex Pistols - Holidays in the Sun (1977),Sex Pistols - Holidays in the Sun (1977)
David Bowie : Neuköln (1977),David Bowie : Neuköln (1977)
Barclay James Harvest,Berlin (1978)
Japan,Suburban Berlin (1978)
Gebrüder Blattschuss,Kreuzberger Nächte (1978)
Bel Ami,Berlin bei Nacht (1979)
Widows,Wall of Berlin (1979)
DAF (Deutsch Amerikanische Freundschaft),Kebabträume (1979)
Ideal,Berlin (1980)
Geile Tiere,Berlin Nite (1980)
Billy Branch and Lurrie Bell,Berlin Wall (1980)
The Stranglers,Bear cage (1980)
Einstürzende Neubauten,Steh auf Berlin (1981)
Fischer-Z,Berlin (1981) • Back to Berlin (2004)
KFC (Kriminalitätsförderungsclub),Stille Tage in Ost-Berlin (1981)
Mobiles,Drowning in Berlin (1982)
Herman Brood,Berlin schmerzt (1982)
Leinemann,Treffpunkt Berlin (1982)
Milva,Alexanderplatz (1982)
Rational Youth,Dancing on the Berlin Wall (1982) [8]
UKW,Sommersprossen (1982)
Udo Lindenberg,Sonderzug nach Pankow (1983) • Gummi in Berlin • Ich hab noch einen Koffer in Berlin • In den Ruinen von Berlin • Mädchen aus Ostberlin • Seid willkommen in Berlin • Russen
Wolf Biermann,Berlin • Frühling auf dem Mont Klamott
Helga Hahnemann,"Berlin • Berlin, meine Liebe • Hundert mal Berlin • Hätt ick man lieber (Ode einer Berlinerin)"
Pooh,Lettera da Berlino Est (1983)
Savage,Berlin (1983)
Alphaville,Summer in Berlin (1984)
Marius Müller-Westernhagen,Berlin
Nina Hagen,Berlin • Berlin is dufte • Aufm Bahnhof Zoo
Reinhard Mey,Berlin tut weh • Mein Berlin • Aber zuhaus' kann ich nur in Berlin sein • Zwischen Kiez und Kudamm • Ich trag' den Staub von deinen Straßen
Klaus Hoffmann,Berlin (1978) • Was fang ich an in dieser Stadt (1978) • Tegel (1985) • Stein auf Stein (1991) • Stadt ohne Namen (1998) • Derselbe Mond über Berlin • Kreuzberger Walzer (1978) • Krumme Lanke • Morjen Berlin • Ratten der Großstadt • Salambo
Lilli Berlin,Ost-Berlin Wahnsinn (1982)
Klein Orkest,Over de Muur (Über die Mauer) (1984)
Bajaga i instruktori,Berlin (1984)
Camel,West Berlin (1984)
Paganini,Berlin by Night (1985)[9]
Rainhard Fendrich,Frühling in Berlin (1985)
Linie 1,all songs (this musical talks about a subway-line in Berlin) e.g. Wilmersdorfer Witwen • Fahr mal wieder U-Bahn (1986)
City,Wand an Wand (1987) • Der King vom Prenzlauer Berg • Z.B. Susann (Berlin)
John F. und die Gropiuslerchen,"Berlin, Berlin (...dein Herz kennt keine Mauern) (1987)"
Jennifer Warnes,First We Take Manhattan (1987)
Wild Dogs,Streets of Berlin (1987)
Marillion,Berlin (1988)
Shy,Break Down the Walls (1987)
Leonard Cohen,First We Take Manhattan (1988)
Kult,Arahja (1988)
Franco Battiato,Alexander Platz (1989)
Silly,Mont Klamott • Verlorene Kinder (1989) • Berliner Frühling • Halloween in Ostberlin • Heiße Würstchen
Oktoberklub,Spreeathen (1989)
Peter Schilling,City Of Night (1989)
John F. und die Gropiuslerchen,"Berlin, Berlin (Mauerfall-Version) (1989)"
Heidi Bruhl,Berlin (1969)
Kombi,Pamiętaj mnie (Remember me) (1989)[10]
Die Skeptiker,Berlin • Dada in Berlin
Quetschenpaua,Q-Damm's Börnin'
They Might Be Giants,Road Movie to Berlin (1990)
Ketil Stokkan,Brandenburger Tor (1990)
Big Cyc,"Berlin Zachodni (West Berlin), (1990)"
U2,Zoo Station (1991)
Harald Juhnke,"Berlin, Berlin (1992)"
Puhdys,Wie ein Engel (S-Bahn-Surver) (1992)
Kurt Schulzke,Der Bär kommt aus Berlin (1992)
Mão Morta,Berlim (Morreu a Nove) (1992)
U2,"Stay, faraway so close! (1993)"
Vicki Vomit,Sommer in Berlin (1994)
Second Decay,I Hate Berlin (1994)
Pink Floyd, A Great Day for Freedom (1994)[11]
Guildo Horn,Berlin
Reinhard Mey,Mein Berlin (1990)
The Ramones,Born to Die in Berlin (1995)
Nepper Schlepper Schlechte Rapper,Sommer in Berlin  (Sony/1996)
Robbie Williams,Berliner Star
"Eberhart Schoener, Die Prinzen und Solisten des Tölzer Knabenchores",Potsdamer Platz (Herz von Berlin) (1998)
Funny van Dannen,Berlin International (1999) • Urbanhafen (1996)
Element of Crime,Jung und Schön • Alle vier Minuten
Udo Lindenberg,Der frische Wind von Berlin
Die Sterne,Big in Berlin (1999)
Juan María Solare - Helmholtz-Straßen Blues (1999),Juan María Solare - Helmholtz-Straßen Blues (1999)
Surrogat,Berlin liebt Dich (2000)
Keimzeit,Berlin (2000)
Harleckinz,Berlin Love (2000)
Ute Lemper,Streets of Berlin (2000)
Einstürzende Neubauten,Die Befindlichkeit des Landes (2000)
Paula,Die Stadt
Scarface,Willkommen in Berlin
Reinhard Mey,Serefina (2000)
Midnight Choir,Snow in Berlin (2000)
Briskeby,Berlin (2000)
Olaf Schubert,"Berlin (bzw. Berlin, wo gehts du hin? 2000)"
Britta,Die traurigsten Menschen (von ganz Berlin) (2001)
Die Prinzen,Berlin (2001)
Seeed,Dickes B (2001) • Music Monks (2003) • Schwinger (2005)
Die Ärzte,Westberlin (2001)
Ellen Allien,Stadtkind (2001)
Dritte Wahl,Fasching in Berlin (2002)
Basta,Berlin (2002)
Kleingeldprinzessin und die Stadtpiraten,Öffentlicher Nahverkehr (2002)
Lexy & K-Paul,Der Fernsehturm (2002)
New York,Willkommen in Berlin (2002)
Rosenstolz,Tag in Berlin (November) (2002)
Rocko Schamoni,Berlin Woman (2002)
City,Berlin 2 (2002)
Bushido,Berlin (2003)
Angelika Express,Geh doch nach Berlin (2003)
Ben,Wir steh'n auf (2003)
Ian Anderson,Pigeons Flying Over Berlin Zoo (2003)
Kaiserbase,"Berlin, du bist so wunderbar (2003)"
Martin Kesici,Angel of Berlin (2003)
P. R. Kantate,Görli Görli (2003)
Culcha Candela,In da city (2004)
Donato Plögert,Berlin is pleite (2004)
Jeans Team,Berlin am Meer (2004)
Rainald Grebe,Miriam (du Blume aus Marzahn) (2004)
Willy Astor,"Berlien, wa! (2004)"
Sido,Berlin Berlin feat. Harris • Westberlin • Mein Block (2004)
Patrouille,Ruhleben (2004)
Toni Kater,Berlin (2004)
BAP,Unger Linde enn Berlin (2004)
Virginia Jetzt!,Der Himmel über Berlin (2004)
Wise Guys,Hallo Berlin (2004)
Taktloss,Westberlin Jungle (2004)
Rainhard Fendrich,Berlin (2004)
City,Meine Gegend (2004)
Boudewijn de Groot,"""Unter den Linden"" • ""Berlijn"" (2004)"
Fler,"Willkommen in Berlin feat. Sido, B-Tight, Frauenarzt, Megaloh, MC Bogy, Tony D & Shizoe (2005)"
The 69 Eyes,Feel Berlin (2005)
Bullit,Grimecity • Mittegirl (2005)
Carpark North,Berlin (2005)
Sentino,Berlin (2005)
Der Automat,Trabrennbahn (2005)
"Mach One, Tarek (von K.I.Z), Muerte/Massimo",Willkommen in 361 (2005)
Rainald Grebe,"Brandenburg (song is called Brandenburg but contrasts the differences between the desolate state and the busy city of Berlin, 2005)"
Wohlstandskinder,Deine Nacht über Berlin (2005)
Nordstrøm,Berlin (2006)
MC Bogy,Willkommen in Abschaumcity (2006)
Sera Finale,Berlin (2006)
Prinz Pi,Grosse Liebe • Meene Stadt (feat. Frank Zander) (2006) • Wir ficken die Welt (2009) • Zu Hause (2011)
Max Herre,King vom Prenzlauer Berg
Roger Cicero,So geil Berlin
Rasta Knast,Ost-Berlin
Fler,Ich scheine (2006)
Kleingeldprinzessin und die Stadtpiraten,Der Kanal (2006)
MIA.,Je dis aime/Ich sag Liebe  (2006)
Botanica,"""Berlin HiFi"" (2006)"
Sender Freie Rakete,Istanbulberlin (2006)
TempEau,Du bist verrückt mein Kind (Bang City) (2006)
Nils Heinrich (Brauseboys),Angeln Berlin (2006)
Marsimoto,"""Green Berlin"" (2006)"
Lisi (Rapperin),"""Berlin"" (2006)"
Kim Frank,Berlin (2007)
Fler,Berlin Flair • Berlin Zoo (feat. Massiv) (2007)
Patroulle,Und am Prenzlauer Berg herrscht die Angst vorm Versagen (2007)
Bloc Party,Kreuzberg (2007)
Rufus Wainwright,Tiergarten (2007)
Kante,"Wer hierher kommt, will vor die Tür •  Die große alte neue Stadt (2007)"
Tele,Bye Bye Berlin (2007)
Infernal,From Paris to Berlin
B-Tight,"""Zack Zack"" (2007)"
P.R. Kantate,In Balin (2007)
Jahcoozi,BLN (2007)
Icke & Er,Keen Hawaii (2007)
Panda,Hierbleiben (2007)
Black Rebel Motorcycle Club,Berlin (2007)
Beirut,Prenzlauer berg (2007)
Kat Frankie,Berlin Cops (2007)
Kent,Berlin (2007)
Genepool,Berlin By Night (2007)
Trikot,Wasser aus der Spree (2008)
Peter Fox,"Fieber, Schwarz zu blau (2008)"
Illdisposed,Verloren in Berlin (2008)
Robots in Disguise,I Live in Berlin (2008)
Fler,Berlin (2008)
Sugarplum Fairy,In Berlin (2008)
Mario Barth,Mensch Berlin (2008) (zusammen mit Paul Kuhn)
In Extremo,Berlin (2008)
The Mountain Goats,Marduk T-shirt Men's Room Incident (2008)
<<link:0>>,"""The Hollows"" (2008)"
Sven van Thom,Jaqueline (Ich hab Berlin gekauft) (2008)
Hecklah und Coch,Berlin (2008)
Christophe Willem,Berlin (2009)
Tony D,Meine Gang (2009)
